time_id,date_recode,week_number,month_record,quarter_record,year_record
1,01-04-2024,14,April,Q2,2024
2,02-04-2024,14,April,Q2,2024
3,03-04-2024,14,April,Q2,2024
4,04-04-2024,14,April,Q2,2024
5,05-04-2024,14,April,Q2,2024
6,06-04-2024,14,April,Q2,2024
7,07-04-2024,14,April,Q2,2024
8,08-04-2024,15,April,Q2,2024
9,09-04-2024,15,April,Q2,2024
10,10-04-2024,15,April,Q2,2024
11,11-04-2024,15,April,Q2,2024
12,12-04-2024,15,April,Q2,2024
13,13-04-2024,15,April,Q2,2024
14,14-04-2024,15,April,Q2,2024
15,15-04-2024,16,April,Q2,2024
16,16-04-2024,16,April,Q2,2024
17,17-04-2024,16,April,Q2,2024
18,18-04-2024,16,April,Q2,2024
19,19-04-2024,16,April,Q2,2024
20,20-04-2024,16,April,Q2,2024
21,21-04-2024,16,April,Q2,2024
22,22-04-2024,17,April,Q2,2024
23,23-04-2024,17,April,Q2,2024
24,24-04-2024,17,April,Q2,2024
25,25-04-2024,17,April,Q2,2024
26,26-04-2024,17,April,Q2,2024
27,27-04-2024,17,April,Q2,2024
28,28-04-2024,17,April,Q2,2024
29,29-04-2024,17,April,Q2,2024
30,30-04-2024,17,April,Q2,2024
31,01-05-2024,18,May,Q2,2024
32,02-05-2024,18,May,Q2,2024
33,03-05-2024,18,May,Q2,2024
34,04-05-2024,18,May,Q2,2024
35,05-05-2024,18,May,Q2,2024
36,06-05-2024,18,May,Q2,2024
37,07-05-2024,18,May,Q2,2024
38,08-05-2024,19,May,Q2,2024
39,09-05-2024,19,May,Q2,2024
40,10-05-2024,19,May,Q2,2024
41,11-05-2024,19,May,Q2,2024
42,12-05-2024,19,May,Q2,2024
43,13-05-2024,19,May,Q2,2024
44,14-05-2024,19,May,Q2,2024
45,15-05-2024,20,May,Q2,2024
46,16-05-2024,20,May,Q2,2024
47,17-05-2024,20,May,Q2,2024
48,18-05-2024,20,May,Q2,2024
49,19-05-2024,20,May,Q2,2024
50,20-05-2024,20,May,Q2,2024
